application3/hamming/append, 1024
application3/hamming/cons, 192
application3/hamming/cons_delete, 192
application3/hamming/deleteFirst, 192
application3/hamming/delete, 192
application3/hamming/reverse, 64
application3/hamming/snoc, 192
application3/hamming/stutter, 64
application3/hamming/tail, 64
application3/edit/append, 16384
application3/edit/cons, 768
application3/edit/cons_delete, 768
application3/edit/deleteFirst, 768
application3/edit/delete, 768
application3/edit/reverse, 256
application3/edit/snoc, 768
application3/edit/stutter, 256
application3/edit/tail, 256
